行號,科目,語言能力水平,性別,類別,報考人數,遞交成績人數,合格,不合格
1,法語,C2,男生,人數,0,0,-,-
2,法語,C2,男生,百分比,,,-,-
3,法語,C2,女生,人數,0,0,-,-
4,法語,C2,女生,百分比,,,-,-
5,法語,C2,總數,人數,0,0,-,-
6,法語,C2,總數,百分比,,,-,-
7,法語,C1,男生,人數,0,0,-,-
8,法語,C1,男生,百分比,,,-,-
9,法語,C1,女生,人數,0,0,-,-
10,法語,C1,女生,百分比,,,-,-
11,法語,C1,總數,人數,0,0,-,-
12,法語,C1,總數,百分比,,,-,-
13,法語,B2,男生,人數,4,4,4,0
14,法語,B2,男生,百分比,,,100.0%,0.0%
15,法語,B2,女生,人數,2,2,2,0
16,法語,B2,女生,百分比,,,100.0%,0.0%
17,法語,B2,總數,人數,6,6,6,0
18,法語,B2,總數,百分比,,,100.0%,0.0%
19,法語,B1,男生,人數,9,9,9,0
20,法語,B1,男生,百分比,,,100.0%,0.0%
21,法語,B1,女生,人數,15,15,14,1
22,法語,B1,女生,百分比,,,93.3%,6.7%
23,法語,B1,總數,人數,24,24,23,1
24,法語,B1,總數,百分比,,,95.8%,4.2%
25,法語,A2,男生,人數,14,14,14,0
26,法語,A2,男生,百分比,,,100.0%,0.0%
27,法語,A2,女生,人數,12,12,11,1
28,法語,A2,女生,百分比,,,91.7%,8.3%
29,法語,A2,總數,人數,26,26,25,1
30,法語,A2,總數,百分比,,,96.2%,3.8%
31,法語,小計,男生,人數,27,27,27,0
32,法語,小計,男生,百分比,,,100.0%,0.0%
33,法語,小計,女生,人數,29,29,27,2
34,法語,小計,女生,百分比,,,93.1%,6.9%
35,法語,小計,總數,人數,56,56,54,2
36,法語,小計,總數,百分比,,,96.4%,3.6%
37,德語,C2,男生,人數,0,0,-,-
38,德語,C2,男生,百分比,,,-,-
39,德語,C2,女生,人數,0,0,-,-
40,德語,C2,女生,百分比,,,-,-
41,德語,C2,總數,人數,0,0,-,-
42,德語,C2,總數,百分比,,,-,-
43,德語,C1,男生,人數,0,0,-,-
44,德語,C1,男生,百分比,,,-,-
45,德語,C1,女生,人數,0,0,-,-
46,德語,C1,女生,百分比,,,-,-
47,德語,C1,總數,人數,0,0,-,-
48,德語,C1,總數,百分比,,,-,-
49,德語,B2,男生,人數,0,0,-,-
50,德語,B2,男生,百分比,,,-,-
51,德語,B2,女生,人數,0,0,-,-
52,德語,B2,女生,百分比,,,-,-
53,德語,B2,總數,人數,0,0,-,-
54,德語,B2,總數,百分比,,,-,-
55,德語,B1,男生,人數,0,0,-,-
56,德語,B1,男生,百分比,,,-,-
57,德語,B1,女生,人數,0,0,-,-
58,德語,B1,女生,百分比,,,-,-
59,德語,B1,總數,人數,0,0,-,-
60,德語,B1,總數,百分比,,,-,-
61,德語,A2,男生,人數,1,1,1,0
62,德語,A2,男生,百分比,,,100.0%,0.0%
63,德語,A2,女生,人數,2,2,2,0
64,德語,A2,女生,百分比,,,100.0%,0.0%
65,德語,A2,總數,人數,3,3,3,0
66,德語,A2,總數,百分比,,,100.0%,0.0%
67,德語,小計,男生,人數,1,1,1,0
68,德語,小計,男生,百分比,,,100.0%,0.0%
69,德語,小計,女生,人數,2,2,2,0
70,德語,小計,女生,百分比,,,100.0%,0.0%
71,德語,小計,總數,人數,3,3,3,0
72,德語,小計,總數,百分比,,,100.0%,0.0%
73,日語,N1,男生,人數,31,30,30,0
74,日語,N1,男生,百分比,,,100.0%,0.0%
75,日語,N1,女生,人數,57,57,54,3
76,日語,N1,女生,百分比,,,94.7%,5.3%
77,日語,N1,總數,人數,88,87,84,3
78,日語,N1,總數,百分比,,,96.6%,3.4%
79,日語,N2,男生,人數,83,83,79,4
80,日語,N2,男生,百分比,,,95.2%,4.8%
81,日語,N2,女生,人數,97,97,96,1
82,日語,N2,女生,百分比,,,99.0%,1.0%
83,日語,N2,總數,人數,180,180,175,5
84,日語,N2,總數,百分比,,,97.2%,2.8%
85,日語,N3,男生,人數,107,106,83,23
86,日語,N3,男生,百分比,,,78.3%,21.7%
87,日語,N3,女生,人數,128,127,82,45
88,日語,N3,女生,百分比,,,64.6%,35.4%
89,日語,N3,總數,人數,235,233,165,68
90,日語,N3,總數,百分比,,,70.8%,29.2%
91,日語,小計,男生,人數,221,219,192,27
92,日語,小計,男生,百分比,,,87.7%,12.3%
93,日語,小計,女生,人數,282,281,232,49
94,日語,小計,女生,百分比,,,82.6%,17.4%
95,日語,小計,總數,人數,503,500,424,76
96,日語,小計,總數,百分比,,,84.8%,15.2%
97,西班牙語,C2,男生,人數,0,0,-,-
98,西班牙語,C2,男生,百分比,,,-,-
99,西班牙語,C2,女生,人數,0,0,-,-
100,西班牙語,C2,女生,百分比,,,-,-
101,西班牙語,C2,總數,人數,0,0,-,-
102,西班牙語,C2,總數,百分比,,,-,-
103,西班牙語,C1,男生,人數,0,0,-,-
104,西班牙語,C1,男生,百分比,,,-,-
105,西班牙語,C1,女生,人數,0,0,-,-
106,西班牙語,C1,女生,百分比,,,-,-
107,西班牙語,C1,總數,人數,0,0,-,-
108,西班牙語,C1,總數,百分比,,,-,-
109,西班牙語,B2,男生,人數,0,0,-,-
110,西班牙語,B2,男生,百分比,,,-,-
111,西班牙語,B2,女生,人數,0,0,-,-
112,西班牙語,B2,女生,百分比,,,-,-
113,西班牙語,B2,總數,人數,0,0,-,-
114,西班牙語,B2,總數,百分比,,,-,-
115,西班牙語,B1,男生,人數,3,3,3,0
116,西班牙語,B1,男生,百分比,,,100.0%,0.0%
117,西班牙語,B1,女生,人數,4,4,4,0
118,西班牙語,B1,女生,百分比,,,100.0%,0.0%
119,西班牙語,B1,總數,人數,7,7,7,0
120,西班牙語,B1,總數,百分比,,,100.0%,0.0%
121,西班牙語,A2,男生,人數,5,5,5,0
122,西班牙語,A2,男生,百分比,,,100.0%,0.0%
123,西班牙語,A2,女生,人數,13,13,12,1
124,西班牙語,A2,女生,百分比,,,92.3%,7.7%
125,西班牙語,A2,總數,人數,18,18,17,1
126,西班牙語,A2,總數,百分比,,,94.4%,5.6%
127,西班牙語,小計,男生,人數,8,8,8,0
128,西班牙語,小計,男生,百分比,,,100.0%,0.0%
129,西班牙語,小計,女生,人數,17,17,16,1
130,西班牙語,小計,女生,百分比,,,94.1%,5.9%
131,西班牙語,小計,總數,人數,25,25,24,1
132,西班牙語,小計,總數,百分比,,,96.0%,4.0%
