行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數,,,,,,,,,,
1,5**,數字,104,144,84,108,32,5,2,0,479,,,,,,,,,,
2,5**,百分比,0.2%,0.3%,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.9%,,,,,,,,,,
3,5*,數字,134,262,316,413,200,36,5,0,1366,,,,,,,,,,
4,5*,百分比,0.3%,0.5%,0.6%,0.8%,0.4%,0.1%,0.0%,0.0%,2.6%,,,,,,,,,,
5,5,數字,118,368,644,996,607,177,12,4,2926,,,,,,,,,,
6,5,百分比,0.2%,0.7%,1.2%,1.9%,1.1%,0.3%,0.0%,0.0%,5.5%,,,,,,,,,,
7,4,數字,117,493,1230,3352,3180,1246,170,23,9811,,,,,,,,,,
8,4,百分比,0.2%,0.9%,2.3%,6.3%,6.0%,2.3%,0.3%,0.0%,18.5%,,,,,,,,,,
9,3,數字,47,202,616,3123,5371,4269,1030,173,14831,,,,,,,,,,
10,3,百分比,0.1%,0.4%,1.2%,5.9%,10.1%,8.0%,1.9%,0.3%,27.9%,,,,,,,,,,
11,2,數字,14,39,121,886,3423,6522,3849,1486,16340,,,,,,,,,,
12,2,百分比,0.0%,0.1%,0.2%,1.7%,6.4%,12.3%,7.2%,2.8%,30.8%,,,,,,,,,,
13,1,數字,0,4,9,45,241,1206,2052,2625,6182,,,,,,,,,,
14,1,百分比,0.0%,0.0%,0.0%,0.1%,0.5%,2.3%,3.9%,4.9%,11.6%,,,,,,,,,,
15,U,數字,0,0,0,6,25,65,151,936,1183,,,,,,,,,,
16,U,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.3%,1.8%,2.2%,,,,,,,,,,
17,總數,數字,534,1512,3020,8929,13079,13526,7271,5247,53118,,,,,,,,,,
18,總數,百分比,1.0%,2.8%,5.7%,16.8%,24.6%,25.5%,13.7%,9.9%,100.0%,,,,,,,,,,
